Name,MaxTorque,MaxRPM,EngineIdleRPM,EngineBrakeEffect,FinalRatio,ChangeUpRPM,ChangeDownRPM,GearChangeTime,ForwardGearRatios,SteeringAngleRatio
Hatchback,500,6000,900,0.20,3.5,5500,2000,0.20,"(4.25,2.52,1.66,1.22,1.00)",0.70
Sedan,600,6500,900,0.20,3.0,5800,2000,0.20,"(4.25,2.52,1.66,1.22,1.00)",0.70
SportsCar,800,7500,900,0.20,2.5,6500,2200,0.18,"(4.25,2.52,1.66,1.22,0.80)",0.80
SUV,650,5500,900,0.25,3.2,5000,2000,0.22,"(4.50,2.70,1.80,1.30,1.00)",0.65
SUV2,700,5500,900,0.25,3.2,5000,2000,0.22,"(4.50,2.70,1.80,1.30,1.00)",0.65
Pickup,700,5000,800,0.28,3.5,4500,1800,0.25,"(4.50,2.80,1.90,1.40,1.05)",0.60
CamperVan,750,4500,800,0.30,4.0,4200,1700,0.28,"(5.00,3.20,2.10,1.50,1.10)",0.55
BoxTruck,1000,4000,800,0.35,4.5,4000,1500,0.30,"(5.50,3.40,2.20,1.60,1.20)",0.50
TruckBox,1100,3800,800,0.35,4.8,3800,1500,0.30,"(5.80,3.60,2.40,1.70,1.20)",0.50
TruckChassis,900,4000,800,0.35,4.5,4000,1500,0.30,"(5.50,3.40,2.20,1.60,1.20)",0.50
